metric_id,vel_id,score_all_ssr_ajust,score_ajust_esatis_region,score_accueil_ssr_ajust,score_pec_ssr_ajust,score_lieu_ssr_ajust,score_repas_ssr_ajust,score_sortie_ssr_ajust,classement,evolution,participation,depot,annee,date_created,source
9dc280b7-1811-4abd-8d39-27025365ad09,7fd0b3b3-8232-41a8-a396-25285bed8740,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
9dc280b7-1811-4abd-8d39-27025365ad09,eadebe8f-a337-4d05-a21e-0d06e07973b2,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
a602af8b-cbc4-411d-8ad1-657b3f1eace1,a1f7376e-ab76-46df-a83f-f88f07498939,66.45,76.47,70.56,66.05,70.16,68.34,60.76,D,Stable,Facultatif,Oui,2024,,IQSS
a602af8b-cbc4-411d-8ad1-657b3f1eace1,a0f9fd9f-e65f-4416-97f4-1debb1ae1234,66.45,76.47,70.56,66.05,70.16,68.34,60.76,D,Stable,Facultatif,Oui,2024,,IQSS
dc7d6d5e-2da1-458e-95f8-983c62e0ce90,8501cdef-8ac5-4d6f-9a32-f2cc2df107d9,78.49,76.47,84.58,82.45,81.39,63.67,70.73,A,Stable,Facultatif,Oui,2024,,IQSS
dc7d6d5e-2da1-458e-95f8-983c62e0ce90,78ce1a1e-1320-4c32-adac-c39edcf70f51,78.49,76.47,84.58,82.45,81.39,63.67,70.73,A,Stable,Facultatif,Oui,2024,,IQSS
185634b5-20da-48e8-b6f6-6ea4cf6bf153,7ab88b43-0d63-447a-b2da-4832e7104a00,77.97,76.47,86.56,82.92,72.01,64.99,74.72,A,Stable,Facultatif,Oui,2024,,IQSS
185634b5-20da-48e8-b6f6-6ea4cf6bf153,f9f6ab3c-d12f-4691-920d-2535a44d8ec2,77.97,76.47,86.56,82.92,72.01,64.99,74.72,A,Stable,Facultatif,Oui,2024,,IQSS
26cb79c8-137d-468f-b129-217999630a07,b635d0fe-c2f2-4b0b-a1d1-e50fa8ad5cb8,74.39,76.47,82.43,75.15,75.09,64.01,74.45,B,Amélioration,Facultatif,Oui,2024,,IQSS
26cb79c8-137d-468f-b129-217999630a07,31f8255d-122f-49a9-baf1-bf98b53a76c5,74.39,76.47,82.43,75.15,75.09,64.01,74.45,B,Amélioration,Facultatif,Oui,2024,,IQSS
ddc37f7c-2be9-4ce4-a7cb-9d33edc95d2a,2cc86c4a-7b8a-4aca-b230-e0a89d136829,71.79,76.47,75.5,76.8,71.21,58.07,64.58,C,Diminution,Obligatoire,Oui,2024,,IQSS
ddc37f7c-2be9-4ce4-a7cb-9d33edc95d2a,cf129f92-ace1-472c-b99c-2cb88be1389b,71.79,76.47,75.5,76.8,71.21,58.07,64.58,C,Diminution,Obligatoire,Oui,2024,,IQSS
52c8f04d-b3eb-4b9d-98d0-2915d27de12e,83e7f3ac-e90e-45a8-9f74-6d7ba32644e0,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
52c8f04d-b3eb-4b9d-98d0-2915d27de12e,ba7b3f06-49af-4655-bb32-cd97f0ce4548,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
3c14fa9e-f84f-4f9d-85de-9c2745060b53,5172f2d8-d1f0-4f35-b231-07f750d2b05b,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
3c14fa9e-f84f-4f9d-85de-9c2745060b53,555bda7c-dc0e-4edc-bab2-8fbb28c6e581,,,,,,,,DI,,Facultatif,Oui,2024,,IQSS
3053e578-f88f-48a2-a59c-151f884bffc3,00402393-3297-4330-bcca-cc7cbd825dab,71.3,76.47,77.07,74.09,76.35,67.04,57.5,C,Non calculable,Facultatif,Oui,2024,,IQSS
3053e578-f88f-48a2-a59c-151f884bffc3,a2c6a1a4-dacf-4840-96c9-38c136f93621,71.3,76.47,77.07,74.09,76.35,67.04,57.5,C,Non calculable,Facultatif,Oui,2024,,IQSS
ec294fc3-d91b-46c6-bd1e-6f804acf6038,4f588165-f486-4de9-a659-6c56a5e5854c,79.08,76.47,85.73,81.94,77.86,75.77,71.0,A,Stable,Obligatoire,Oui,2024,,IQSS
ec294fc3-d91b-46c6-bd1e-6f804acf6038,f9882539-6d46-4c3e-8732-37606ff579f9,79.08,76.47,85.73,81.94,77.86,75.77,71.0,A,Stable,Obligatoire,Oui,2024,,IQSS
