metric_id,vel_id,score_all_ssr_ajust,score_ajust_esatis_region,score_accueil_ssr_ajust,score_pec_ssr_ajust,score_lieu_ssr_ajust,score_repas_ssr_ajust,score_sortie_ssr_ajust,classement,annee,date_created,source
2914b02e-efb8-4bbe-9c7e-38b47d29d2a9,8f8ac317-e5ed-4ef9-9df1-ac8767538b06,80.19,76.47,85.63,84.51,78.58,67.02,75.35,A,2024,,IQSS
0d43abea-0b2e-46fd-93c9-c22ec436084e,e2ed171a-b8f5-4903-8a1e-a1111277df6c,,,,,,,,NV,2024,,IQSS
0d43abea-0b2e-46fd-93c9-c22ec436084e,0c695e79-90bd-4694-9a4f-44692a2832d9,,,,,,,,NV,2024,,IQSS
b1626bf9-5bdb-48cb-9721-37ab0f08cbda,920feb00-ea60-4688-8e33-4312da097777,76.92,76.47,83.06,79.57,81.78,63.18,69.59,A,2024,,IQSS
b1626bf9-5bdb-48cb-9721-37ab0f08cbda,8f8ac317-e5ed-4ef9-9df1-ac8767538b06,76.92,76.47,83.06,79.57,81.78,63.18,69.59,A,2024,,IQSS
8b82ad93-3dee-4520-ae97-6bf3c7862da3,96e9cdaf-210b-47f9-907b-e45d735caa06,75.51,76.05,84.45,78.99,77.71,61.67,67.37,B,2024,,IQSS
8b82ad93-3dee-4520-ae97-6bf3c7862da3,900481f5-2837-4079-b874-2b078ab0d408,75.51,76.05,84.45,78.99,77.71,61.67,67.37,B,2024,,IQSS
d7357670-6757-4b38-80d9-d8c4ea3156cb,1778ab2d-2539-43a4-a38d-2b364a00a31f,72.33,76.05,81.69,73.67,78.81,63.1,63.03,C,2024,,IQSS
d7357670-6757-4b38-80d9-d8c4ea3156cb,d685b318-c5f5-43b7-b31a-c8ff1d33e229,72.33,76.05,81.69,73.67,78.81,63.1,63.03,C,2024,,IQSS
a29db5ca-6920-4b6e-8e66-3eba9769e117,154ff9fb-687b-469c-8e8e-676935172450,81.42,76.05,87.97,85.37,83.25,65.79,74.14,A,2024,,IQSS
a29db5ca-6920-4b6e-8e66-3eba9769e117,ba1a4913-6716-4e61-a9a5-9e6ccc9753a0,81.42,76.05,87.97,85.37,83.25,65.79,74.14,A,2024,,IQSS
7d4827cb-620a-448b-9218-eaf2a9b34fd5,fafe6b78-f894-4c67-95ac-68f27025613c,,,,,,,,DI,2024,,IQSS
7d4827cb-620a-448b-9218-eaf2a9b34fd5,dce223b3-4c09-4752-be9a-91b6f771e98c,,,,,,,,DI,2024,,IQSS
8b0e8446-1880-4a32-bfa4-631b0aa8b152,79192a9a-4a41-49fa-9b35-d5fbd98e58ef,66.15,76.05,75.08,65.32,71.6,70.01,57.49,D,2024,,IQSS
8b0e8446-1880-4a32-bfa4-631b0aa8b152,d27e9641-d2d5-4ab9-bf92-a62d882795ff,66.15,76.05,75.08,65.32,71.6,70.01,57.49,D,2024,,IQSS
cb6d3f45-7e4d-4a6e-9ae8-4fab849aaff8,529a78c4-c312-4fbc-b355-3f3c9d689e31,71.13,76.05,79.38,78.24,77.73,33.36,62.99,C,2024,,IQSS
cb6d3f45-7e4d-4a6e-9ae8-4fab849aaff8,be331889-c270-4c87-b973-e6fd935f1e19,71.13,76.05,79.38,78.24,77.73,33.36,62.99,C,2024,,IQSS
41210965-3608-4648-a575-8e1586ca1e48,0590e411-58d8-48aa-b029-cd38024a0240,,,,,,,,DI,2024,,IQSS
41210965-3608-4648-a575-8e1586ca1e48,a2fcc06f-0bf9-4f20-bf0a-522484378470,,,,,,,,DI,2024,,IQSS
dca542a4-9880-4e0e-a9e8-a6d5328701c5,dbc6f049-f5ac-4169-9947-5fc785312348,77.4,76.05,84.63,80.79,82.13,58.22,71.57,A,2024,,IQSS
dca542a4-9880-4e0e-a9e8-a6d5328701c5,5eaa8f9c-f26d-45b5-ba40-ee8728fb9148,77.4,76.05,84.63,80.79,82.13,58.22,71.57,A,2024,,IQSS
e3a4a879-6791-4a58-8257-dd73d6ac3512,048e6515-b98b-4215-adcc-da518794ae77,81.29,75.36,89.05,84.97,82.45,71.01,71.64,A,2024,,IQSS
e3a4a879-6791-4a58-8257-dd73d6ac3512,b260dc89-2960-4807-89ec-a4901228bf96,81.29,75.36,89.05,84.97,82.45,71.01,71.64,A,2024,,IQSS
f95b429c-ff37-4906-9b1a-e0f175f4754a,b7b5d0d5-df33-4a49-be51-85436d0b38f3,,,,,,,,DI,2024,,IQSS
f95b429c-ff37-4906-9b1a-e0f175f4754a,4c916aef-ee98-4a06-bb25-21b9b7ff5cfa,,,,,,,,DI,2024,,IQSS
9eed3c50-5835-4877-8e57-3433e1488dc7,52f8bc04-cb47-4bf6-bc5c-da7875605483,76.01,75.36,83.97,78.04,78.03,70.51,67.21,B,2024,,IQSS
9eed3c50-5835-4877-8e57-3433e1488dc7,9b74e0c2-46a3-4509-b4dd-66a1cf5625ac,76.01,75.36,83.97,78.04,78.03,70.51,67.21,B,2024,,IQSS
fbff63a5-d51e-49d7-adbf-169965b4cd8f,4d6d08e3-4db4-4d94-a2b5-7eff571f3a56,71.38,75.36,80.13,73.86,79.87,52.76,61.48,C,2024,,IQSS
fbff63a5-d51e-49d7-adbf-169965b4cd8f,d4f76039-bf0d-4728-9a7b-cb3332113481,71.38,75.36,80.13,73.86,79.87,52.76,61.48,C,2024,,IQSS
8c92b2e4-78d8-4000-82d4-0339389611b9,0678853d-b20d-4d57-a607-c391ade82b9f,,,,,,,,DI,2024,,IQSS
